Local time,Open,High,Low,Close,Volume
01.01.2010 01:00:00.000 GMT+0100,1.61669,1.61678,1.61635,1.61667,2317.2
01.01.2010 03:00:00.000 GMT+0100,1.61660,1.61681,1.61598,1.61608,6154.2
01.01.2010 05:00:00.000 GMT+0100,1.61675,1.61685,1.61600,1.61667,10343.3999
01.01.2010 07:00:00.000 GMT+0100,1.61673,1.61696,1.61603,1.61672,26912.501
01.01.2010 09:00:00.000 GMT+0100,1.61672,1.61693,1.61582,1.61667,25843.5996
01.01.2010 11:00:00.000 GMT+0100,1.61667,1.61678,1.61598,1.61670,23418.5
01.01.2010 13:00:00.000 GMT+0100,1.61670,1.61682,1.61605,1.61670,24087.5
01.01.2010 15:00:00.000 GMT+0100,1.61672,1.61678,1.61658,1.61672,24559.5996
01.01.2010 17:00:00.000 GMT+0100,1.61672,1.61690,1.61487,1.61600,10953.3999
01.01.2010 19:00:00.000 GMT+0100,1.61602,1.61678,1.61596,1.61670,4675
01.01.2010 21:00:00.000 GMT+0100,1.61670,1.61678,1.61614,1.61614,3228.5
01.01.2010 23:00:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
02.01.2010 01:00:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
02.01.2010 03:00:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
02.01.2010 05:00:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
02.01.2010 07:00:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
02.01.2010 09:00:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
02.01.2010 11:00:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
02.01.2010 13:00:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
02.01.2010 15:00:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
02.01.2010 17:00:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
02.01.2010 19:00:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
02.01.2010 21:00:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
02.01.2010 23:00:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
03.01.2010 01:00:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
03.01.2010 03:00:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
03.01.2010 05:00:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
03.01.2010 07:00:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
03.01.2010 09:00:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
03.01.2010 11:00:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
03.01.2010 13:00:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
03.01.2010 15:00:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
03.01.2010 17:00:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
03.01.2010 19:00:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
03.01.2010 21:00:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
03.01.2010 23:00:00.000 GMT+0100,1.61034,1.61520,1.61023,1.61375,5015.45
04.01.2010 01:00:00.000 GMT+0100,1.61370,1.61455,1.60885,1.60900,11463.9004
04.01.2010 03:00:00.000 GMT+0100,1.60895,1.61190,1.60710,1.60885,4420.4001
04.01.2010 05:00:00.000 GMT+0100,1.60905,1.61020,1.60815,1.60945,4609.8
04.01.2010 07:00:00.000 GMT+0100,1.60940,1.61110,1.60575,1.60975,15720.6001
04.01.2010 09:00:00.000 GMT+0100,1.60975,1.62125,1.60900,1.62045,35482.3398
04.01.2010 11:00:00.000 GMT+0100,1.62045,1.62415,1.61675,1.62205,32208.399400000002
04.01.2010 13:00:00.000 GMT+0100,1.62210,1.62235,1.61380,1.61620,33891.7998
04.01.2010 15:00:00.000 GMT+0100,1.61620,1.61950,1.61145,1.61195,36825.298800000004
04.01.2010 17:00:00.000 GMT+0100,1.61195,1.61315,1.60845,1.61255,14893.4995
04.01.2010 19:00:00.000 GMT+0100,1.61255,1.61300,1.60920,1.60925,6701.2998
04.01.2010 21:00:00.000 GMT+0100,1.60930,1.61050,1.60815,1.60820,4748.9001
04.01.2010 23:00:00.000 GMT+0100,1.60820,1.61135,1.60815,1.61125,1757.4499999999998
05.01.2010 01:00:00.000 GMT+0100,1.61125,1.61370,1.60660,1.60785,6499.8601
05.01.2010 03:00:00.000 GMT+0100,1.60785,1.60985,1.60695,1.60865,10820
05.01.2010 05:00:00.000 GMT+0100,1.60865,1.61400,1.60785,1.61325,8843.2002
05.01.2010 07:00:00.000 GMT+0100,1.61325,1.61530,1.60915,1.60990,14736.1997
05.01.2010 09:00:00.000 GMT+0100,1.61005,1.61035,1.60270,1.60505,31569.21
05.01.2010 11:00:00.000 GMT+0100,1.60505,1.60535,1.59880,1.60125,26932.399400000002
05.01.2010 13:00:00.000 GMT+0100,1.60120,1.60545,1.60050,1.60375,24003.2998
05.01.2010 15:00:00.000 GMT+0100,1.60375,1.60700,1.60155,1.60310,34919.6992
05.01.2010 17:00:00.000 GMT+0100,1.60315,1.60490,1.59860,1.60030,24967.4004
05.01.2010 19:00:00.000 GMT+0100,1.60025,1.60040,1.59650,1.60000,20818.2998
05.01.2010 21:00:00.000 GMT+0100,1.60005,1.60065,1.59885,1.59900,7083.999900000001
05.01.2010 23:00:00.000 GMT+0100,1.59895,1.59980,1.59710,1.59885,2937.7001
06.01.2010 01:00:00.000 GMT+0100,1.59885,1.60045,1.59435,1.59915,10113.4697
06.01.2010 03:00:00.000 GMT+0100,1.59920,1.59970,1.59745,1.59805,10716.800299999999
06.01.2010 05:00:00.000 GMT+0100,1.59805,1.59875,1.59545,1.59635,6186.5
06.01.2010 07:00:00.000 GMT+0100,1.59640,1.60285,1.59500,1.60160,20000.5698
06.01.2010 09:00:00.000 GMT+0100,1.60160,1.60635,1.60045,1.60215,26207.3603
06.01.2010 11:00:00.000 GMT+0100,1.60225,1.60265,1.59780,1.59820,24869.6201
06.01.2010 13:00:00.000 GMT+0100,1.59820,1.59915,1.59590,1.59685,32763.459
06.01.2010 15:00:00.000 GMT+0100,1.59685,1.60000,1.59370,1.59980,40028.4609
