Local time,Open,High,Low,Close,Volume
01.01.2010 11:00:00.000 GMT+0100,1.61667,1.61690,1.61487,1.61614,90922.4995
01.01.2010 23:00:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
02.01.2010 11:00:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
02.01.2010 23:00:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
03.01.2010 11:00:00.000 GMT+0100,1.61614,1.61614,1.61614,1.61614,0
03.01.2010 23:00:00.000 GMT+0100,1.61034,1.62125,1.60575,1.62045,76712.4904
04.01.2010 11:00:00.000 GMT+0100,1.62045,1.62415,1.60815,1.60820,129269.19740000002
04.01.2010 23:00:00.000 GMT+0100,1.60820,1.61530,1.60270,1.60505,74225.92
05.01.2010 11:00:00.000 GMT+0100,1.60505,1.60700,1.59650,1.59900,138725.0985
05.01.2010 23:00:00.000 GMT+0100,1.59895,1.60635,1.59435,1.60215,76162.4002
06.01.2010 11:00:00.000 GMT+0100,1.60225,1.60430,1.59370,1.60170,163145.1801
06.01.2010 23:00:00.000 GMT+0100,1.60170,1.60585,1.59120,1.59350,56365.549999999996
07.01.2010 11:00:00.000 GMT+0100,1.59340,1.59565,1.58960,1.59290,155807.4419
07.01.2010 23:00:00.000 GMT+0100,1.59290,1.60370,1.59150,1.60315,60773.6308
08.01.2010 11:00:00.000 GMT+0100,1.60325,1.61100,1.59565,1.60210,148491.3997
08.01.2010 23:00:00.000 GMT+0100,1.60210,1.60210,1.60210,1.60210,0
09.01.2010 11:00:00.000 GMT+0100,1.60210,1.60210,1.60210,1.60210,0
09.01.2010 23:00:00.000 GMT+0100,1.60210,1.60210,1.60210,1.60210,0
10.01.2010 11:00:00.000 GMT+0100,1.60210,1.60210,1.60210,1.60210,0
10.01.2010 23:00:00.000 GMT+0100,1.60675,1.61475,1.60430,1.61455,107420.8501
11.01.2010 11:00:00.000 GMT+0100,1.61455,1.61935,1.60920,1.61125,143572.16040000002
11.01.2010 23:00:00.000 GMT+0100,1.61125,1.61395,1.60615,1.61355,74870.8211
