Local time,Open,High,Low,Close,Volume
01.12.2011 00:00:00.000 GMT+0100,1.56989,1.57067,1.56881,1.57031,3942.6499
01.12.2011 01:00:00.000 GMT+0100,1.57032,1.57056,1.56884,1.56895,5964.3101
01.12.2011 02:00:00.000 GMT+0100,1.56894,1.57166,1.56887,1.56940,7576.71
01.12.2011 03:00:00.000 GMT+0100,1.56940,1.56997,1.56730,1.56820,5800.7598
01.12.2011 04:00:00.000 GMT+0100,1.56820,1.56886,1.56744,1.56884,5102.6602
01.12.2011 05:00:00.000 GMT+0100,1.56884,1.57121,1.56882,1.57022,5213.7998
01.12.2011 06:00:00.000 GMT+0100,1.57022,1.57053,1.56916,1.56922,5949.8101
01.12.2011 07:00:00.000 GMT+0100,1.56922,1.56979,1.56801,1.56837,5987.0298
01.12.2011 08:00:00.000 GMT+0100,1.56835,1.56969,1.56467,1.56481,11278.9297
01.12.2011 09:00:00.000 GMT+0100,1.56479,1.56766,1.56364,1.56701,14580.3496
01.12.2011 10:00:00.000 GMT+0100,1.56699,1.57278,1.56685,1.57205,14546.5898
01.12.2011 11:00:00.000 GMT+0100,1.57205,1.57453,1.57101,1.57417,14929.6699
01.12.2011 12:00:00.000 GMT+0100,1.57416,1.57416,1.56952,1.57092,11120.04
01.12.2011 13:00:00.000 GMT+0100,1.57091,1.57337,1.57071,1.57199,11140.7803
01.12.2011 14:00:00.000 GMT+0100,1.57197,1.57331,1.57036,1.57141,12758.46
01.12.2011 15:00:00.000 GMT+0100,1.57142,1.57252,1.57054,1.57216,12072.8701
01.12.2011 16:00:00.000 GMT+0100,1.57230,1.57558,1.56814,1.56830,14494.0996
01.12.2011 17:00:00.000 GMT+0100,1.56829,1.56997,1.56650,1.56959,12981
01.12.2011 18:00:00.000 GMT+0100,1.56959,1.56988,1.56800,1.56881,8592.8301
01.12.2011 19:00:00.000 GMT+0100,1.56879,1.57082,1.56862,1.56952,8584.0098
