Local time,Open,High,Low,Close,Volume
01.12.2011 00:00:00.000 GMT+0100,1.56989,1.56989,1.56938,1.56949,105.99
01.12.2011 00:01:00.000 GMT+0100,1.56949,1.56970,1.56947,1.56962,78.51
01.12.2011 00:02:00.000 GMT+0100,1.56964,1.56983,1.56962,1.56983,80.5
01.12.2011 00:03:00.000 GMT+0100,1.56983,1.56990,1.56973,1.56989,87.14
01.12.2011 00:04:00.000 GMT+0100,1.56990,1.56994,1.56989,1.56994,41.16
01.12.2011 00:05:00.000 GMT+0100,1.56994,1.56994,1.56991,1.56994,66.76
01.12.2011 00:06:00.000 GMT+0100,1.56994,1.56994,1.56994,1.56994,44.08
01.12.2011 00:07:00.000 GMT+0100,1.56998,1.57000,1.56996,1.56997,36
01.12.2011 00:08:00.000 GMT+0100,1.56994,1.56996,1.56936,1.56946,52.32
01.12.2011 00:09:00.000 GMT+0100,1.56946,1.56946,1.56928,1.56938,19.35
01.12.2011 00:10:00.000 GMT+0100,1.56938,1.56938,1.56928,1.56928,35.26
01.12.2011 00:11:00.000 GMT+0100,1.56928,1.56928,1.56928,1.56928,19.5
01.12.2011 00:12:00.000 GMT+0100,1.56928,1.56928,1.56928,1.56928,21.75
01.12.2011 00:13:00.000 GMT+0100,1.56928,1.56932,1.56927,1.56927,39.86
01.12.2011 00:14:00.000 GMT+0100,1.56927,1.56929,1.56927,1.56927,61.66
01.12.2011 00:15:00.000 GMT+0100,1.56927,1.56927,1.56927,1.56927,71.19
01.12.2011 00:16:00.000 GMT+0100,1.56927,1.56927,1.56898,1.56898,62.97
01.12.2011 00:17:00.000 GMT+0100,1.56898,1.56902,1.56893,1.56899,48.83
01.12.2011 00:18:00.000 GMT+0100,1.56898,1.56907,1.56898,1.56905,50.9
01.12.2011 00:19:00.000 GMT+0100,1.56905,1.56906,1.56899,1.56904,90
01.12.2011 00:20:00.000 GMT+0100,1.56904,1.56904,1.56900,1.56900,42.75
01.12.2011 00:21:00.000 GMT+0100,1.56900,1.56900,1.56894,1.56895,54.05
01.12.2011 00:22:00.000 GMT+0100,1.56894,1.56897,1.56894,1.56894,59.8
01.12.2011 00:23:00.000 GMT+0100,1.56896,1.56901,1.56894,1.56895,119.76
01.12.2011 00:24:00.000 GMT+0100,1.56895,1.56899,1.56894,1.56896,93.48
01.12.2011 00:25:00.000 GMT+0100,1.56896,1.56899,1.56894,1.56897,33.76
01.12.2011 00:26:00.000 GMT+0100,1.56897,1.56897,1.56894,1.56896,47.51
01.12.2011 00:27:00.000 GMT+0100,1.56894,1.56894,1.56881,1.56881,62.13
01.12.2011 00:28:00.000 GMT+0100,1.56883,1.56892,1.56883,1.56888,38.25
01.12.2011 00:29:00.000 GMT+0100,1.56890,1.56893,1.56884,1.56892,54
01.12.2011 00:30:00.000 GMT+0100,1.56892,1.56895,1.56888,1.56891,57
01.12.2011 00:31:00.000 GMT+0100,1.56891,1.56921,1.56888,1.56921,52.51
01.12.2011 00:32:00.000 GMT+0100,1.56921,1.56921,1.56896,1.56909,65.2
01.12.2011 00:33:00.000 GMT+0100,1.56907,1.56909,1.56900,1.56904,55.13
01.12.2011 00:34:00.000 GMT+0100,1.56904,1.56932,1.56900,1.56930,85.5
01.12.2011 00:35:00.000 GMT+0100,1.56930,1.56934,1.56923,1.56934,91.5
01.12.2011 00:36:00.000 GMT+0100,1.56936,1.56948,1.56936,1.56948,41.25
01.12.2011 00:37:00.000 GMT+0100,1.56957,1.56990,1.56957,1.56977,75.34
01.12.2011 00:38:00.000 GMT+0100,1.56975,1.56982,1.56972,1.56980,87
01.12.2011 00:39:00.000 GMT+0100,1.56985,1.56988,1.56982,1.56982,51.75
01.12.2011 00:40:00.000 GMT+0100,1.56982,1.56982,1.56947,1.56947,83.93
01.12.2011 00:41:00.000 GMT+0100,1.56943,1.56948,1.56930,1.56937,91.5
01.12.2011 00:42:00.000 GMT+0100,1.56937,1.56976,1.56933,1.56959,77.84
01.12.2011 00:43:00.000 GMT+0100,1.56959,1.56959,1.56949,1.56949,20.51
01.12.2011 00:44:00.000 GMT+0100,1.56949,1.56977,1.56942,1.56955,75.04
01.12.2011 00:45:00.000 GMT+0100,1.56955,1.56978,1.56955,1.56978,55.6
01.12.2011 00:46:00.000 GMT+0100,1.56978,1.56978,1.56978,1.56978,54
01.12.2011 00:47:00.000 GMT+0100,1.56976,1.56990,1.56942,1.56990,118.12
01.12.2011 00:48:00.000 GMT+0100,1.56993,1.57007,1.56986,1.56986,89.81
01.12.2011 00:49:00.000 GMT+0100,1.56986,1.56995,1.56980,1.56983,54
01.12.2011 00:50:00.000 GMT+0100,1.56983,1.56993,1.56976,1.56976,97.13
01.12.2011 00:51:00.000 GMT+0100,1.56976,1.56983,1.56974,1.56983,21.02
01.12.2011 00:52:00.000 GMT+0100,1.56985,1.57014,1.56985,1.57006,73.13
01.12.2011 00:53:00.000 GMT+0100,1.57006,1.57026,1.57005,1.57020,81.75
01.12.2011 00:54:00.000 GMT+0100,1.57020,1.57026,1.57018,1.57026,51.78
01.12.2011 00:55:00.000 GMT+0100,1.57026,1.57067,1.57026,1.57067,105.54
01.12.2011 00:56:00.000 GMT+0100,1.57064,1.57064,1.57006,1.57006,81.38
01.12.2011 00:57:00.000 GMT+0100,1.57006,1.57024,1.57002,1.57024,98.25
01.12.2011 00:58:00.000 GMT+0100,1.57026,1.57042,1.57024,1.57042,80.65
01.12.2011 00:59:00.000 GMT+0100,1.57049,1.57054,1.57024,1.57031,150.27
01.12.2011 01:00:00.000 GMT+0100,1.57032,1.57033,1.56958,1.56966,170.57
01.12.2011 01:01:00.000 GMT+0100,1.56968,1.56968,1.56958,1.56962,88.13
01.12.2011 01:02:00.000 GMT+0100,1.56962,1.56964,1.56958,1.56960,39.39
01.12.2011 01:03:00.000 GMT+0100,1.56958,1.56969,1.56941,1.56957,106.98
01.12.2011 01:04:00.000 GMT+0100,1.56953,1.56968,1.56946,1.56966,85.5
01.12.2011 01:05:00.000 GMT+0100,1.56964,1.56977,1.56962,1.56977,108.65
01.12.2011 01:06:00.000 GMT+0100,1.56977,1.56997,1.56975,1.56984,172.79
01.12.2011 01:07:00.000 GMT+0100,1.56986,1.57009,1.56983,1.57006,108.04
01.12.2011 01:08:00.000 GMT+0100,1.57006,1.57032,1.56999,1.57014,86.25
01.12.2011 01:09:00.000 GMT+0100,1.57014,1.57014,1.56995,1.57003,55.5
01.12.2011 01:10:00.000 GMT+0100,1.57003,1.57012,1.56991,1.57000,141.53
01.12.2011 01:11:00.000 GMT+0100,1.57000,1.57000,1.56983,1.56995,88.2
01.12.2011 01:12:00.000 GMT+0100,1.56995,1.57012,1.56994,1.57005,94.69
01.12.2011 01:13:00.000 GMT+0100,1.57005,1.57009,1.56999,1.57000,99.75
01.12.2011 01:14:00.000 GMT+0100,1.57000,1.57028,1.57000,1.57028,95.33
01.12.2011 01:15:00.000 GMT+0100,1.57028,1.57056,1.57019,1.57050,132.39
01.12.2011 01:16:00.000 GMT+0100,1.57052,1.57055,1.57036,1.57038,57
01.12.2011 01:17:00.000 GMT+0100,1.57036,1.57046,1.57027,1.57029,48
01.12.2011 01:18:00.000 GMT+0100,1.57027,1.57027,1.57013,1.57013,52.5
01.12.2011 01:19:00.000 GMT+0100,1.57017,1.57017,1.57008,1.57014,65.25
01.12.2011 01:20:00.000 GMT+0100,1.57014,1.57029,1.57006,1.57006,96.38
01.12.2011 01:21:00.000 GMT+0100,1.57006,1.57036,1.57004,1.57032,106.14
01.12.2011 01:22:00.000 GMT+0100,1.57032,1.57034,1.57023,1.57026,87.75
01.12.2011 01:23:00.000 GMT+0100,1.57026,1.57033,1.56994,1.57013,98.3
01.12.2011 01:24:00.000 GMT+0100,1.57011,1.57016,1.56987,1.57006,133.52
01.12.2011 01:25:00.000 GMT+0100,1.57006,1.57015,1.56996,1.57005,64.89
01.12.2011 01:26:00.000 GMT+0100,1.57005,1.57021,1.57005,1.57012,112.5
01.12.2011 01:27:00.000 GMT+0100,1.57009,1.57019,1.57007,1.57014,69.75
01.12.2011 01:28:00.000 GMT+0100,1.57014,1.57025,1.57008,1.57014,93.75
01.12.2011 01:29:00.000 GMT+0100,1.57015,1.57017,1.57005,1.57010,102.01
01.12.2011 01:30:00.000 GMT+0100,1.57007,1.57016,1.56967,1.56974,225.03
01.12.2011 01:31:00.000 GMT+0100,1.56974,1.56978,1.56961,1.56974,118.8
01.12.2011 01:32:00.000 GMT+0100,1.56974,1.57003,1.56964,1.57003,117.15
01.12.2011 01:33:00.000 GMT+0100,1.57007,1.57009,1.56975,1.56985,110.63
01.12.2011 01:34:00.000 GMT+0100,1.56985,1.56985,1.56938,1.56957,92.71
01.12.2011 01:35:00.000 GMT+0100,1.56959,1.56975,1.56959,1.56968,97.89
01.12.2011 01:36:00.000 GMT+0100,1.56968,1.56968,1.56966,1.56966,24
01.12.2011 01:37:00.000 GMT+0100,1.56966,1.56968,1.56966,1.56966,48.75
01.12.2011 01:38:00.000 GMT+0100,1.56966,1.57005,1.56966,1.56987,117.06
01.12.2011 01:39:00.000 GMT+0100,1.56987,1.57002,1.56986,1.56987,90.48
01.12.2011 01:40:00.000 GMT+0100,1.56987,1.56987,1.56971,1.56978,58.58
01.12.2011 01:41:00.000 GMT+0100,1.56978,1.57002,1.56973,1.57002,94.2
01.12.2011 01:42:00.000 GMT+0100,1.57002,1.57018,1.56998,1.57016,118.96
01.12.2011 01:43:00.000 GMT+0100,1.57016,1.57034,1.56992,1.56994,69.87
01.12.2011 01:44:00.000 GMT+0100,1.56994,1.57025,1.56994,1.57023,60.84
01.12.2011 01:45:00.000 GMT+0100,1.57023,1.57037,1.57023,1.57036,24.48
01.12.2011 01:46:00.000 GMT+0100,1.57036,1.57042,1.56997,1.57008,151.18
01.12.2011 01:47:00.000 GMT+0100,1.57008,1.57008,1.56975,1.56978,150.78
01.12.2011 01:48:00.000 GMT+0100,1.56978,1.56994,1.56969,1.56988,99.15
01.12.2011 01:49:00.000 GMT+0100,1.56988,1.56997,1.56988,1.56992,133.5
01.12.2011 01:50:00.000 GMT+0100,1.56994,1.56996,1.56987,1.56993,150.75
01.12.2011 01:51:00.000 GMT+0100,1.56993,1.56993,1.56961,1.56970,92.25
01.12.2011 01:52:00.000 GMT+0100,1.56970,1.56970,1.56932,1.56938,112.24
01.12.2011 01:53:00.000 GMT+0100,1.56937,1.56937,1.56914,1.56921,154.16
01.12.2011 01:54:00.000 GMT+0100,1.56921,1.56921,1.56893,1.56904,129.08
01.12.2011 01:55:00.000 GMT+0100,1.56898,1.56902,1.56888,1.56897,158.64
01.12.2011 01:56:00.000 GMT+0100,1.56898,1.56904,1.56891,1.56901,107.42
01.12.2011 01:57:00.000 GMT+0100,1.56902,1.56904,1.56884,1.56889,41.04
01.12.2011 01:58:00.000 GMT+0100,1.56891,1.56906,1.56887,1.56900,97.65
01.12.2011 01:59:00.000 GMT+0100,1.56900,1.56905,1.56886,1.56895,55.61
01.12.2011 02:00:00.000 GMT+0100,1.56894,1.56904,1.56887,1.56904,73.56
01.12.2011 02:01:00.000 GMT+0100,1.56903,1.57000,1.56894,1.56996,150.01
01.12.2011 02:02:00.000 GMT+0100,1.56996,1.57009,1.56984,1.57006,153.54
01.12.2011 02:03:00.000 GMT+0100,1.57006,1.57072,1.57006,1.57062,140.63
01.12.2011 02:04:00.000 GMT+0100,1.57064,1.57114,1.57064,1.57103,169.41
01.12.2011 02:05:00.000 GMT+0100,1.57103,1.57103,1.57049,1.57051,157.95
01.12.2011 02:06:00.000 GMT+0100,1.57057,1.57077,1.57048,1.57064,148.13
01.12.2011 02:07:00.000 GMT+0100,1.57064,1.57078,1.57054,1.57072,133.51
01.12.2011 02:08:00.000 GMT+0100,1.57070,1.57088,1.57070,1.57073,119.65
01.12.2011 02:09:00.000 GMT+0100,1.57075,1.57103,1.57075,1.57078,196.13
01.12.2011 02:10:00.000 GMT+0100,1.57076,1.57144,1.57068,1.57129,195.16
01.12.2011 02:11:00.000 GMT+0100,1.57131,1.57142,1.57125,1.57125,129.45
01.12.2011 02:12:00.000 GMT+0100,1.57125,1.57128,1.57068,1.57078,157.51
01.12.2011 02:13:00.000 GMT+0100,1.57083,1.57128,1.57082,1.57124,139.88
01.12.2011 02:14:00.000 GMT+0100,1.57124,1.57152,1.57123,1.57140,145.13
01.12.2011 02:15:00.000 GMT+0100,1.57144,1.57166,1.57108,1.57111,148.53
01.12.2011 02:16:00.000 GMT+0100,1.57112,1.57165,1.57112,1.57153,197.43
