Local time,Open,High,Low,Close,Volume
30.11.2011 23:00:00.000 GMT+0100,1.57039,1.57166,1.56881,1.56940,20344.500099999997
01.12.2011 03:00:00.000 GMT+0100,1.56940,1.57121,1.56730,1.56922,22067.029899999998
01.12.2011 07:00:00.000 GMT+0100,1.56922,1.57278,1.56364,1.57205,46392.8989
01.12.2011 11:00:00.000 GMT+0100,1.57205,1.57453,1.56952,1.57141,49948.9502
01.12.2011 15:00:00.000 GMT+0100,1.57142,1.57558,1.56650,1.56881,48140.7998
01.12.2011 19:00:00.000 GMT+0100,1.56879,1.57082,1.56788,1.56869,25283.7601
01.12.2011 23:00:00.000 GMT+0100,1.56881,1.56952,1.56746,1.56890,15822.050200000001
02.12.2011 03:00:00.000 GMT+0100,1.56890,1.56900,1.56686,1.56763,14315.060099999999
02.12.2011 07:00:00.000 GMT+0100,1.56764,1.57061,1.56659,1.56943,38171.7393
02.12.2011 11:00:00.000 GMT+0100,1.56942,1.57253,1.56700,1.56961,47597.9502
02.12.2011 15:00:00.000 GMT+0100,1.56963,1.57004,1.55763,1.55881,54529.338800000005
02.12.2011 19:00:00.000 GMT+0100,1.55881,1.56094,1.55821,1.55951,24252.9399
02.12.2011 23:00:00.000 GMT+0100,1.55951,1.55951,1.55951,1.55951,0
03.12.2011 03:00:00.000 GMT+0100,1.55951,1.55951,1.55951,1.55951,0
03.12.2011 07:00:00.000 GMT+0100,1.55951,1.55951,1.55951,1.55951,0
03.12.2011 11:00:00.000 GMT+0100,1.55951,1.55951,1.55951,1.55951,0
03.12.2011 15:00:00.000 GMT+0100,1.55951,1.55951,1.55951,1.55951,0
03.12.2011 19:00:00.000 GMT+0100,1.55951,1.55951,1.55951,1.55951,0
03.12.2011 23:00:00.000 GMT+0100,1.55951,1.55951,1.55951,1.55951,0
04.12.2011 03:00:00.000 GMT+0100,1.55951,1.55951,1.55951,1.55951,0
04.12.2011 07:00:00.000 GMT+0100,1.55951,1.55951,1.55951,1.55951,0
04.12.2011 11:00:00.000 GMT+0100,1.55951,1.55951,1.55951,1.55951,0
04.12.2011 15:00:00.000 GMT+0100,1.55951,1.55951,1.55951,1.55951,0
04.12.2011 19:00:00.000 GMT+0100,1.55951,1.55951,1.55951,1.55951,0
04.12.2011 23:00:00.000 GMT+0100,1.56249,1.56249,1.55855,1.56061,11402.2699
